subcategory	sample_rate	copyright	bit_depth	description	manufacturer	publisher	filename	length	channels	designer	library	category	originator
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Extraterrestrial Signal, Flanging, Granular Artifacts, Indolent, Low Rumble, Resonant	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience Low 05_RSCPC_PX.wav	00:36	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Alien Being, Eerie Detuned Atmospheric Vocalization, Granular Flutter, Low Rumble	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience Low 06_RSCPC_PX.wav	00:35	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Gritty, Intense, Low Punch	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 01_RSCPC_PX.wav	00:05	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive, Angry, Dense, Low Punch, Overdriven Bass, Strong	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 02_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Overdriven Bass, Strong, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 03_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive, Grainy Noise Texture, Gritty, Intense, Overdriven Bass, Slight Rattle	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 04_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive, Energy, Gritty, Low Punch, Overdriven Bass, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 05_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Dense, Gritty, Overdriven Bass, Stutter, Chatter	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 06_RSCPC_PX.wav	00:04	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Gritty, Overdriven Bass, Strong, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 07_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive, Dense, Gritty, Overdriven Bass, Slight Rattle	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 08_RSCPC_PX.wav	00:06	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Dense, Gritty, Intense, Overdriven Bass	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 09_RSCPC_PX.wav	00:04	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Energy, Gritty, Hollow, Overdriven Bass, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 10_RSCPC_PX.wav	00:04	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Gritty, Muffled, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 11_RSCPC_PX.wav	00:05	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Energy, Gritty, Overdriven Bass, Strong, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 12_RSCPC_PX.wav	00:05	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Gritty, Overdriven Bass, Resonating Pulse, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 13_RSCPC_PX.wav	00:04	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Gritty, Low Hum And Buzz, Overdriven Bass	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 14_RSCPC_PX.wav	00:04	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Low Hum And Buzz, Overdriven Bass, Sizzle	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 15_RSCPC_PX.wav	00:04	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Gritty, Overdriven Bass, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 16_RSCPC_PX.wav	00:04	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive, Angry, Overdriven Bass, Resonant, Tense	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 17_RSCPC_PX.wav	00:05	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive Punch, Angry, Intense, Overdriven Bass, Resonating Pulse	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 18_RSCPC_PX.wav	00:05	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
BRAAM	96000	2023 @ Rescopic Sound	24	Braam, Synth-Based Bass, Aggressive, Angry, Gritty, Intense, Overdriven Bass	Rescopic Sound	www.rescopicsound.com	DSGNBram_Blast 19_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Gritty, Intense	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 01_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Bubbling, Dense, Mushy, Splatter, Sticky	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 02_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Angry, Biomechanical Malfunction, Granular Gesture, Intense	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 03_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Alien And Extraterrestrial Object, Angry, Cybernetic Movement, Mushy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 04_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Granular Gesture, Gritty, Intense, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 05_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Granular Gesture, Gritty, Intense, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 06_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Alien Weapon Effect, Granular Artifacts, Gritty	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 07_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Dense, Mushy, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 08_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Granular Flutter, Low Thump, Sci-Fi Explosive Energy, Tense	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 09_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Dense, Sci-Fi Explosive Energy, Sticky Tail	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 10_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Gritty, Low Thump, Sci-Fi Explosive Energy, Rattle	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 11_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Dense, Heavy, Sci-Fi Explosive Energy, Strong	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 12_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Low Punch, Mushy, Sticky	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 13_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Energy, Granular Gesture, Gritty, Strong	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 14_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Alien Weapon Effect, Flanging, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 15_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Futuristic, Granular Flutter	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 16_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Low Punch, Mushy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 17_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Mushy, Splatter, Sticky	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 18_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Dense, Sticky, Tense	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 19_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Granular Artifacts, Low Punch, Slight Rattle, Springy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 20_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Dense, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 21_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Alien Weapon Effect, Dense, Strong	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 22_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Fluttering, Low Punch, Springy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 23_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Alien Weapon Effect, Dense, Energy, Gritty, Low Punch	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 24_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive, Alien Weapon Effect, Dense, Granular Gesture, Low Punch	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 25_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Alien Weapon Effect, Gritty, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 26_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Gritty, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 27_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Low Punch, Mushy, Sticky	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 28_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Gritty, Low Punch, Muffled	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 29_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Energy, Low Thump, Sci-Fi Explosive Energy, Tense	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 30_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Energy, Low Thump, Sci-Fi Explosive Energy, Tense	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 31_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Low Punch, Mushy, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 32_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Strong, Alien Weapon Effect, Mushy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 33_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Low Thump, Strong, Sci-Fi Explosive Energy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 34_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Dense, Low Thump, Mushy, Splatter	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 35_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Low Thump, Tense, Alien Weapon Effect, Granular Gesture	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 36_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Dense, Tense, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 37_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Dense, Energy, Granular Artifacts, Slight Rattle	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 38_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Dense, Tense, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 39_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Energy, Strong, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 40_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Energy, Strong, Gritty, Slight Rattle	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 41_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Low Punch, Tense, Granular Gesture, Springy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 42_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Energy, Low Thump, Tense, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 43_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Aggressive Punch, Strong, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 44_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Expressive Tail, Energy, Low Thump, Mushy, Sticky	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Extended 45_RSCPC_PX.wav	00:03	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Dense, Gritty, Low Tension, Springy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 01_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Aggressive Punch, Strong, Tense, Granular Gesture	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 02_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Energy, Low Thump, High-Pitched, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 03_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Futuristic, Low Thump, Grit, Slight Rattle	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 04_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Aggressive Punch, Energy, Tense, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 05_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Low Thump, Alien Weapon Effect, Springy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 06_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Aggressive, Resonant, Alien Weapon Effect, Granular Flutter	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 07_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Aggressive, Resonant, Tense, Granular Gesture	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 08_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Aggressive Punch, Dense, Gritty, Springy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 09_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Aggressive, Tense, Grainy Noise Texture, Grit	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 10_RSCPC_PX.wav	00:02	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Gritty, Resonant, Low Thump, Gesture	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 11_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Angry, Intense, Low Punch, Alien Weapon Effect	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 12_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Heavy, Low Thump, Granular Artifacts, Slight Rattle	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 13_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Heavy, Low Thump, Alien Weapon Effect, Muffled	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 14_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
SYNTHETIC	96000	2023 @ Rescopic Sound	24	Impact, Big, Aggressive, Gritty, Low Thump, Resonant, Springy	Rescopic Sound	www.rescopicsound.com	DSGNSynth_Hit Large Tight 15_RSCPC_PX.wav	00:01	2	John Koulouris	Parallax	DESIGNED	Logic Pro X
